"Microsoft Status","CA Owner","CA Common Name or Certificate Name","Subject","SHA-1 Fingerprint","SHA-256 Fingerprint","Microsoft EKUs","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm"
"Disabled","A-Trust","A-Trust-nQual-03","CN=A-Trust-nQual-03; OU=A-Trust-nQual-03; O=A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH; C=AT","4CAEE38931D19AE73B31AA75CA33D621290FA75E","8688E58F4C7A945FADCE7F62BFEF521B82DA7DC38BFDB0163478A5FE42E57870","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","2014 Jul 23","2025 Jul 23","RSA 2048 bits","SHA1WithRSA"
"Disabled","A-Trust","A-Trust-Qual-02","CN=A-Trust-Qual-02; OU=A-Trust-Qual-02; O=A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH; C=AT","CD787A3D5CBA8207082848365E9ACDE9683364D8","F28630BABF256E567B5821069FCF13148AB9A23E28FC0D70615AAE6ED284F4C8","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2014 Jul 01","2024 Jul 01","RSA 2048 bits","SHA1WithRSA"
"Disabled","A-Trust","A-Trust-Qual-03","CN=A-Trust-Qual-03; OU=A-Trust-Qual-03; O=A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH; C=AT","42EFDDE6BFF35ED0BAE6ACDD204C50AE86C4F4FA","6BAF50AE3467EFF3C35FEFDC76A02A97FAB6267723EDA91E99F1B3DC2B28F82E","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2008 Apr 24","2018 Apr 24","RSA 2048 bits","SHA1WithRSA"
"Disabled","A-Trust","A-Trust-Root-05","CN=A-Trust-Root-05; OU=A-Trust-Root-05; O=A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH; C=AT","2E66C9841181C08FB1DFABD4FF8D5CC72BE08F02","2DDE9D0C0A90E7B32B5ABC01F41799D42E95A1E3C31C3B39373BB8141EA54471","Server Authentication;Client Authentication;Code Signing;Secure Email","2013 Sep 23","2023 Sep 20","RSA 4096 bits","SHA256WithRSA"
"Included","A-Trust","A-Trust-Root-07","CN=A-Trust-Root-07; OU=A-Trust-Root-07; O=A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH; C=AT","1B1815AF925D140EFC5AF9A1AA55EEBB4FFBC561","8AC552AD577E37AD2C6808D72AA331D6A96B4B3FEBFF34CE9BC0578E08055EC3","Server Authentication","2018 May 17","2036 Nov 19","RSA 4096 bits","SHA256WithRSA"
"Included","A-Trust","A-Trust-Root-09","CN=A-Trust-Root-09; OU=A-Trust-Root-09; O=A-Trust GmbH; C=AT","D05849DE4004DA6E867DEE000671CDA8F423266F","7A38F708A35A31E42E1CF3220F9A2D273E7666354618B2464657D43D8E77ADC2","Server Authentication;Client Authentication","2023 Feb 21","2036 Jul 14","RSA 4096 bits","SHA256WithRSA"
"NotBefore","AC Camerfirma, S.A.","Chambers of Commerce Root","CN=Chambers of Commerce Root; OU=http://www.chambersign.org; O=AC Camerfirma SA CIF A82743287; C=EU","6E3A55A4190C195C93843CC0DB722E313061F0B1","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2003 Sep 30","2037 Sep 30","RSA 2048 bits","SHA1WithRSA"
"Included","AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","CN=Chambers of Commerce Root - 2008; O=AC Camerfirma S.A.; L=Madrid (see current address at www.camerfirma.com/address); C=EU; SerialNumber=A82743287","786A74AC76AB147F9C6A3050BA9EA87EFE9ACE3C","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2008 Aug 01","2038 Jul 31","RSA 4096 bits","SHA1WithRSA"
"Included","AC Camerfirma, S.A.","CHAMBERS OF COMMERCE ROOT - 2016","CN=CHAMBERS OF COMMERCE ROOT - 2016; OU=see current address at www.camerfirma.com/address, CHAMBERS OF COMMERCE ROOT - 2016; O=AC CAMERFIRMA S.A.; L=MADRID; ST=MADRID; C=ES; SerialNumber=A82743287; OrganizationIdentifier=VATES-A82743287","2DE16A5677BACA39E1D68C30DCB14ABE22A6179B","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2016 Apr 14","2040 Apr 08","RSA 4096 bits","SHA256WithRSA"
"NotBefore","AC Camerfirma, S.A.","Global Chambersign Root","CN=Global Chambersign Root; OU=http://www.chambersign.org; O=AC Camerfirma SA CIF A82743287; C=EU","339B6B1450249B557A01877284D9E02FC3D2D8E9","EF3CB417FC8EBF6F97876C9E4ECE39DE1EA5FE649141D1028B7D11C0B2298CED","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2003 Sep 30","2037 Sep 30","RSA 2048 bits","SHA1WithRSA"
